angular_velocity,sin,cos,epoch
1.139636931067345094e+00,5.211313118551204326e-02,-1.741397308813263378e-01,1.784447903580999613e+09
1.131810769179482312e+00,5.311180285193146944e-02,-1.676237963225827854e-01,1.784447903613999605e+09
1.123805815429877120e+00,5.398393912599659672e-02,-1.613210086473688132e-01,1.784447903646999598e+09
1.115636776001510233e+00,5.473686288918729048e-02,-1.552260331243508484e-01,1.784447903679999590e+09
1.107317721751202688e+00,5.537757074087808207e-02,-1.493335990227559473e-01,1.784447903712999582e+09
1.098862109390667419e+00,5.591274514598994216e-02,-1.436385027905699441e-01,1.784447903745999575e+09
1.090282802132095830e+00,5.634876620651270429e-02,-1.381356109219821771e-01,1.784447903778999567e+09
1.081592089805725854e+00,5.669172306560583963e-02,-1.328198625310156866e-01,1.784447903811999559e+09
1.072801708455473735e+00,5.694742495298173168e-02,-1.276862716475803405e-01,1.784447903844999552e+09
1.063922859420189715e+00,5.712141188014414894e-02,-1.227299292514937717e-01,1.784447903877999544e+09
1.054966227907756737e+00,5.721896499402263914e-02,-1.179460050592939097e-01,1.784447903910999537e+09
1.045942001069478655e+00,5.724511659740501301e-02,-1.133297490780626332e-01,1.784447903943999529e+09
1.036859885582772867e+00,5.720465984450968933e-02,-1.088764929398002151e-01,1.784447903976999521e+09
1.027729124750295986e+00,5.710215811990111690e-02,-1.045816510293266360e-01,1.784447904009999514e+09
1.018558515122892194e+00,5.694195410887688269e-02,-1.004407214180786240e-01,1.784447904042999506e+09
1.009356422655516061e+00,5.672817856733076980e-02,-9.644928661561673333e-02,1.784447904075999498e+09
1.000130798404144761e+00,5.646475879898944783e-02,-9.260301415011479298e-02,1.784447904108999491e+09
9.908891937715240683e-01,5.615542684775705340e-02,-8.889765698857704512e-02,1.784447904141999483e+09
9.816387753115820569e-01,5.580372741287349669e-02,-8.532905380704963738e-02,1.784447904174999475e+09
9.723863390999001322e-01,5.541302549436140368e-02,-8.189312912057505889e-02,1.784447904207999468e+09
9.631383246792226682e-01,5.498651377618331282e-02,-7.858589328222403969e-02,1.784447904240999460e+09
9.539008285891001915e-01,5.452721975438153124e-02,-7.540344236004908884e-02,1.784447904273999453e+09
9.446796174875673469e-01,5.403801261733449934e-02,-7.234195790041691998e-02,1.784447904306999445e+09
9.354801408741779678e-01,5.352160988512850992e-02,-6.939770658572580464e-02,1.784447904339999437e+09
9.263075434225827021e-01,5.298058381494415159e-02,-6.656703979415506955e-02,1.784447904372999430e+09
9.171666769314030798e-01,5.241736757918986911e-02,-6.384639306871381370e-02,1.784447904405999422e+09
9.080621119022127541e-01,5.183426122298002980e-02,-6.123228550246334612e-02,1.784447904438999414e+09
8.989981487526976789e-01,5.123343740743764585e-02,-5.872131904648408840e-02,1.784447904471999407e+09
8.899788286738627985e-01,5.061694694519532078e-02,-5.631017774677044008e-02,1.784447904504999399e+09
8.810079441393001698e-01,4.998672413424772032e-02,-5.399562691598130959e-02,1.784447904537999392e+09
8.720890490755566216e-01,4.934459189625912956e-02,-5.177451224560986054e-02,1.784447904570999384e+09
8.632254687008769078e-01,4.869226672527333932e-02,-4.964375886387845105e-02,1.784447904603999376e+09
8.544203090411899293e-01,4.803136345261323215e-02,-4.760037034437342163e-02,1.784447904636999369e+09
8.456764661316940046e-01,4.736339983365085715e-02,-4.564142767015372248e-02,1.784447904669999361e+09
8.369966349105781855e-01,4.668980096199022711e-02,-4.376408815782223405e-02,1.784447904702999353e+09
8.283833178149977439e-01,4.601190351649493693e-02,-4.196558434581060260e-02,1.784447904735999346e+09
8.198388330846471117e-01,4.533095984640796161e-02,-4.024322285086551210e-02,1.784447904768999338e+09
8.113653227828210301e-01,4.464814189975059577e-02,-3.859438319652358507e-02,1.784447904801999331e+09
8.029647605408756217e-01,4.396454500002051902e-02,-3.701651661712940244e-02,1.784447904834999323e+09
7.946389590342179954e-01,4.328119147610239026e-02,-3.550714484075573329e-02,1.784447904867999315e+09
7.863895771974414028e-01,4.259903415014450190e-02,-3.406385885418966586e-02,1.784447904900999308e+09
7.782181271850860949e-01,4.191895968810173401e-02,-3.268431765293539071e-02,1.784447904933999300e+09
7.701259810855860533e-01,4.124179181743899136e-02,-3.136624697905493475e-02,1.784447904966999292e+09
7.621143773952796519e-01,4.056829441646798984e-02,-3.010743804943122326e-02,1.784447904999999285e+09
7.541844272593054566e-01,3.989917447955933227e-02,-2.890574627692704679e-02,1.784447905032999277e+09
7.463371204857496277e-01,3.923508496248247213e-02,-2.775908998674719852e-02,1.784447905065999269e+09
7.385733313403208822e-01,3.857662751189523676e-02,-2.666544913012519613e-02,1.784447905098999262e+09
7.308938241273510439e-01,3.792435508296905511e-02,-2.562286399737584430e-02,1.784447905131999254e+09
7.232992585635444893e-01,3.727877444901524229e-02,-2.462943393216637800e-02,1.784447905164999247e+09
7.157901949511840112e-01,3.664034860684269035e-02,-2.368331604875056895e-02,1.784447905197999239e+09
7.083670991557384777e-01,3.600949908148494416e-02,-2.278272395380004367e-02,1.784447905230999231e+09
7.010303473953187758e-01,3.538660813385292869e-02,-2.192592647433028175e-02,1.784447905263999224e+09
6.937802308463589807e-01,3.477202087473103831e-02,-2.111124639311928730e-02,1.784447905296999216e+09
6.866169600717755284e-01,3.416604728846679706e-02,-2.033705919291389774e-02,1.784447905329999208e+09
6.795406692774024204e-01,3.356896416957992624e-02,-1.960179181060323073e-02,1.784447905362999201e+09
6.725514204018752107e-01,3.298101697544579547e-02,-1.890392140246416330e-02,1.784447905395999193e+09
6.656492070446817788e-01,3.240242159810106937e-02,-1.824197412148426123e-02,1.784447905428999186e+09
6.588339582385758231e-01,3.183336605811375175e-02,-1.761452390768231124e-02,1.784447905461999178e+09
6.521055420708454786e-01,3.127401212341622549e-02,-1.702019129226134408e-02,1.784447905494999170e+09
6.454637691577465031e-01,3.072449685584770218e-02,-1.645764221636686342e-02,1.784447905527999163e+09
6.389083959784362943e-01,3.018493408814164336e-02,-1.592558686512884902e-02,1.784447905560999155e+09
6.324391280713290708e-01,2.965541583391610725e-02,-1.542277851762346996e-02,1.784447905593999147e+09
6.260556230985832027e-01,2.913601363326050186e-02,-1.494801241330695474e-02,1.784447905626999140e+09
6.197574937828596031e-01,2.862677983631327361e-02,-1.450012463541722196e-02,1.784447905659999132e+09
6.135443107202183111e-01,2.812774882723571845e-02,-1.407799101177670265e-02,1.784447905692999125e+09
6.074156050741554846e-01,2.763893819087341608e-02,-1.368052603339248163e-02,1.784447905725999117e+09
6.013708711542482543e-01,2.716034982430796940e-02,-1.330668179118593697e-02,1.784447905758999109e+09
5.954095688833296318e-01,2.669197099548041574e-02,-1.295544693111655432e-02,1.784447905791999102e+09
5.895311261578546347e-01,2.623377535095043622e-02,-1.262584562798058085e-02,1.784447905824999094e+09
5.837349411040724245e-01,2.578572387478443584e-02,-1.231693657802840347e-02,1.784447905857999086e+09
5.780203842344950882e-01,2.534776580056556650e-02,-1.202781201060493244e-02,1.784447905890999079e+09
5.723868005081873545e-01,2.491983947834112978e-02,-1.175759671890536096e-02,1.784447905923999071e+09
5.668335112977194168e-01,2.450187319839029765e-02,-1.150544710993156583e-02,1.784447905956999063e+09
5.613598162666482150e-01,2.409378597350679552e-02,-1.127055027371665075e-02,1.784447905989999056e+09
5.559649951608240936e-01,2.369548828154093012e-02,-1.105212307181763220e-02,1.784447906022999048e+09
