epoch,velocity,sin,cos
1784623574.1179983616,2.0252596167,-0.4642063066,0.8836168237
1784623574.1509983540,2.6748349434,-0.3938316411,0.9170268991
1784623574.1839983463,3.5636901887,-0.2967564211,0.9527888240
1784623574.2169983387,4.7709143100,-0.1622370887,0.9846746007
1784623574.2499983311,6.3845429417,0.0223498750,0.9979523428
1784623574.2829983234,8.4719303050,0.2663518511,0.9627441654
1784623574.3159983158,11.0028374464,0.5604641146,0.8285902407
1784623574.3489983082,13.7002386991,0.8471286598,0.5357456079
1784623574.3819983006,15.8837086838,1.0006529893,0.0705794564
1784623574.4149982929,16.6194102405,0.8914982577,-0.4562384697
1784623574.4479982853,15.3291903104,0.5318612813,-0.8450481776
1784623574.4809982777,12.3676277921,0.0965892682,-0.9913649472
1784623574.5139982700,8.7828182674,-0.2507552849,-0.9629014190
1784623574.5469982624,5.4599676401,-0.4677510412,-0.8780636564
1784623574.5799982548,2.8131464012,-0.5815931881,-0.8070975076
1784623574.6129982471,0.8869393276,-0.6283198607,-0.7711223441
1784623574.6459982395,-0.4581290341,-0.6326077432,-0.7676917679
1784623574.6789982319,-1.4069712743,-0.6077019399,-0.7878940031
1784623574.7119982243,-2.1255182083,-0.5597340126,-0.8230556634
1784623574.7449982166,-2.7452035616,-0.4906938544,-0.8663213165
1784623574.7779982090,-3.3671508447,-0.3997165146,-0.9121618154
1784623574.8109982014,-4.0708102857,-0.2836591778,-0.9549426135
1784623574.8439981937,-4.9208255714,-0.1377666431,-0.9869632310
1784623574.8769981861,-5.9687008689,0.0428696547,-0.9960974145
1784623574.9099981785,-7.2458384774,0.2600006307,-0.9633734880
1784623574.9429981709,-8.7436780440,0.5056200416,-0.8619480321
1784623574.9759981632,-10.3777548055,0.7517631320,-0.6613741891
1784623575.0089981556,-11.9433317268,0.9421524308,-0.3436399831
1784623575.0419981480,-13.1061121168,1.0012111527,0.0679565688
1784623575.0749981403,-13.5005255626,0.8745114399,0.4908313721
1784623575.1079981327,-12.9192091108,0.5798254075,0.8155204377
1784623575.1409981251,-11.4679927170,0.2082293917,0.9764604977
1784623575.1739981174,-9.5308428781,-0.1398536742,0.9872857013
1784623575.2069981098,-7.5356354209,-0.4108054087,0.9080175464
1784623575.2399981022,-5.7848005335,-0.5996692186,0.7958028052
1784623575.2729980946,-4.4184379455,-0.7249115235,0.6837723241
1784623575.3059980869,-3.4518930904,-0.8077673662,0.5840109285
1784623575.3389980793,-2.8376106060,-0.8643364834,0.4970262695
1784623575.3719980717,-2.5114627712,-0.9051330077,0.4186558197
1784623575.4049980640,-2.4173050356,-0.9364817212,0.3434049206
1784623575.4379980564,-2.5169894908,-0.9616890324,0.2656587090
1784623575.4709980488,-2.7928161220,-0.9816923652,0.1799103292
1784623575.5039980412,-3.2467199781,-0.9951842423,0.0806246514
1784623575.5369980335,-3.8981170210,-0.9981471202,-0.0378626620
1784623575.5699980259,-4.7803155273,-0.9827036141,-0.1809640892
1784623575.6029980183,-5.9331524073,-0.9353173322,-0.3522323428
1784623575.6359980106,-7.3869876290,-0.8350079025,-0.5492584125
1784623575.6689980030,-9.1304032918,-0.6540711025,-0.7555987409
1784623575.7019979954,-11.0533953878,-0.3671277290,-0.9295199436
1784623575.7349979877,-12.8748989208,0.0246921190,-0.9994288158
1784623575.7679979801,-14.1319107895,0.4607082448,-0.8889571636
1784623575.8009979725,-14.3455211130,0.8192343426,-0.5794979198
1784623575.8339979649,-13.3127121121,0.9926703573,-0.1540606938
1784623575.8669979572,-11.2936846660,0.9722733199,0.2530028498
1784623575.8999979496,-8.8605467847,0.8349574372,0.5559883878
1784623575.9329979420,-6.5341686847,0.6676325008,0.7465352631
1784623575.9659979343,-4.6092455577,0.5200441478,0.8546511122
1784623575.9989979267,-3.1719952219,0.4067939514,0.9129445782
1784623576.0319979191,-2.1798165796,0.3250549212,0.9442602887
1784623576.0649979115,-1.5410708627,0.2667481741,0.9617774837
1784623576.0979979038,-1.1630074827,0.2237484332,0.9723251826
1784623576.1309978962,-0.9707078713,0.1894491741,0.9793159605
1784623576.1639978886,-0.9113588021,0.1588832557,0.9844795316
1784623576.1969978809,-0.9528230258,0.1283222258,0.9886724673
1784623576.2299978733,-1.0804646507,0.0947446387,0.9922040690
1784623576.2629978657,-1.2941906706,0.0553379691,0.9949315886
1784623576.2959978580,-1.6067242638,0.0070753480,0.9961856167
1784623576.3289978504,-2.0434047175,-0.0536379494,0.9944910637
1784623576.3619978428,-2.6432874301,-0.1312230367,0.9869734560
1784623576.3949978352,-3.4608013597,-0.2309417935,0.9682568253
1784623576.4279978275,-4.5660122071,-0.3582219904,0.9285912458
1784623576.4609978199,-6.0385796117,-0.5162009841,0.8510838446
1784623576.4939978123,-7.9444590382,-0.6993131263,0.7089533655
1784623576.5269978046,-10.2761707546,-0.8802209116,0.4673137601
1784623576.5599977970,-12.8371443094,-0.9924772174,0.1013134554
1784623576.5929977894,-15.0963608187,-0.9320676860,-0.3571101867
1784623576.6259977818,-16.2205461142,-0.6259371923,-0.7764779561
1784623576.6589977741,-15.5414036768,-0.1429815389,-0.9874930049
1784623576.6919977665,-13.1297439660,0.3308178231,-0.9423935838
1784623576.7249977589,-9.8306532930,0.6598691896,-0.7526771615
1784623576.7579977512,-6.5626070759,0.8379809631,-0.5509524609
1784623576.7909977436,-3.8428363529,0.9193471312,-0.4021781898
1784623576.8239977360,-1.8119853006,0.9522520799,-0.3172192345
1784623576.8569977283,-0.3861175596,0.9629652188,-0.2845790053
1784623576.8899977207,0.5983098070,0.9618935755,-0.2895107056
1784623576.9229977131,1.3027265336,0.9521457349,-0.3205989825
1784623576.9559977055,1.8597397660,0.9338252546,-0.3705309711
1784623576.9889976978,2.3719989314,0.9053345945,-0.4352332460
1784623577.0219976902,2.9197355332,0.8634862768,-0.5127644104
1784623577.0549976826,3.5695244078,0.8031361263,-0.6021471838
1784623577.0879976749,4.3809916340,0.7165778053,-0.7018830075
1784623577.1209976673,5.4091283434,0.5930089770,-0.8076870893
1784623577.1539976597,6.6986122600,0.4188840004,-0.9088486676
1784623577.1869976521,8.2642525249,0.1810793416,-0.9829526627
1784623577.2199976444,10.0513643240,-0.1238090105,-0.9908107791
1784623577.2529976368,11.8781149671,-0.4716812024,-0.8793880911
1784623577.2859976292,13.3900995135,-0.7924487035,-0.6071050448
1784623577.3189976215,14.1218075940,-0.9806988547,-0.1906925229
1784623577.3519976139,13.7285012411,-0.9613974494,0.2718631747
1784623577.3849976063,12.2396673226,-0.7573442971,0.6516536251
1784623577.4179975986,10.0760002149,-0.4683810867,0.8820608127
1784623577.4509975910,7.7701023891,-0.1901005857,0.9807118113
